scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,epoch,training_loss
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,70,0.3750264209763611
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,71,0.3745015948502146
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,72,0.3739819001436085
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,73,0.37346722367974716
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,74,0.37295745658066337
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,75,0.372452494038081
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,76,0.37195223509966896
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,77,0.37145658246945845
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,78,0.3709654423213075
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,79,0.370478724124398
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,80,0.3699963404798379
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,1,0.5397153485794433
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,2,0.44779923301199615
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,3,0.4379202288966854
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,4,0.4328004627383857
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,5,0.4284636913391752
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,6,0.4246655583465823
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,7,0.42127974507465143
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,8,0.4182193292362133
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,9,0.4154209724275202
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,10,0.41283749489652233
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,11,0.4104330539847761
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,12,0.408179939485002
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,13,0.40605638272882416
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,14,0.40404503104173134
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,15,0.40213186571719234
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,16,0.40030542171681455
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,17,0.3985562162110669
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,18,0.3968763240618955
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,19,0.3952590582708724
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,20,0.39369872647054116
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,21,0.39219044323174207
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,22,0.39072998384303764
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,23,0.38931366925771815
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,24,0.38793827471542075
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,25,0.3866009565275892
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,26,0.38529919293040094
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,27,0.38403073592949877
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,28,0.38279357180534207
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,29,0.3815858884964671
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,30,0.3804060484858461
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,31,0.3792525661216266
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,32,0.3781240885351742
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,33,0.3770193794960479
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,34,0.3759373056793813
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,35,0.3748768249263164
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,36,0.37383697616014916
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,37,0.3728168706851935
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,38,0.37181568464620823
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,39,0.37083265246660757
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,40,0.36986706111594875
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,41,0.3689182450831208
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,42,0.36798558195260067
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,43,0.36706848849815454
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,44,0.36616641722222526
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,45,0.36527885328063114
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,46,0.3644053117415526
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,47,0.36354533513553594
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,48,0.3626984912596679
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,49,0.361864371204436
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,50,0.36104258757628205
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,51,0.3602327728926186
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,52,0.3594345781292664
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,53,0.3586476714029515
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,54,0.35787173677379336
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,55,0.3571064731546557
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,56,0.3563515933158931
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,57,0.35560682297545837
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,58,0.3548718999655528
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,59,0.3541465734680621
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,60,0.353430603311932
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,61,0.35272375932643046
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,62,0.352025820744929
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,63,0.35133657565443727
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,64,0.3506558204866471
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,65,0.34998335954669896
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,66,0.34931900457629084
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,67,0.3486625743480956
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,68,0.34801389428877266
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,69,0.34737279612812727
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,70,0.3467391175722208
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,71,0.34611270199844574
