scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,final_training_loss,initial_training_loss,loss_reduction,loss_roughness,convergence_epoch,best_loss_epoch,epoch_to_90pct_loss_reduction,runtime_seconds,test_accuracy,test_macro_f1,test_weighted_f1,positive_prediction_rate
learning_rate_sensitivity,Mini-batch GD,1.0,64.0,0.0001,42,80,0.25161817970509304,0.41002585466908603,0.158407674963993,0.003347985137138885,,79,39.0,0.6088321001734585,0.8931451612903226,0.7973715651135006,0.8853746740149793,0.8716397849462365
learning_rate_sensitivity,Mini-batch GD,2.0,64.0,0.0001,42,80,0.2478497467693243,0.3898515439063001,0.1420017971369758,0.004114104754829318,,79,24.0,0.6165797999128699,0.896505376344086,0.8087339743589743,0.8905842897022332,0.8615591397849462
mini_batch_size,Mini-batch GD,1.0,8.0,0.0001,42,80,0.2509414708967813,0.33420966208928793,0.08326819119250661,0.005538335987866724,,51,7.0,4.151076100068167,0.9005376344086021,0.8226785662523712,0.8969052640889402,0.8467741935483871
mini_batch_size,Mini-batch GD,1.0,16.0,0.0001,42,80,0.2489571077720985,0.36437484518434843,0.11541773741224992,0.004750582446188593,,69,13.0,2.153611399931833,0.8998655913978495,0.8182889598282157,0.8952017318196458,0.8541666666666666
mini_batch_size,Mini-batch GD,1.0,32.0,0.0001,42,80,0.2478001686101732,0.3896775621532727,0.1418773935430995,0.004091373041204888,,79,24.0,1.397281200159341,0.896505376344086,0.8087339743589743,0.8905842897022332,0.8615591397849462
mini_batch_size,Mini-batch GD,1.0,64.0,0.0001,42,80,0.25161817970509304,0.41002585466908603,0.158407674963993,0.003347985137138885,,79,39.0,0.6432013001758605,0.8931451612903226,0.7973715651135006,0.8853746740149793,0.8716397849462365
mini_batch_size,Mini-batch GD,1.0,128.0,0.0001,42,80,0.26598029261626616,0.4268242050188855,0.16084391240261936,0.0026786605022686583,,80,51.0,0.3848064998164773,0.8776881720430108,0.7535814116002795,0.8640552324489228,0.8938172043010753
stability_across_seeds,SGD,0.05,,0.0001,1,80,0.24606958015147215,0.37665018346888646,0.1305806033174143,0.004710517763391982,,80,17.0,10.610376000171527,0.8918010752688172,0.7918940776575054,0.8829829018618053,0.8770161290322581
stability_across_seeds,SGD,0.05,,0.0001,7,80,0.2460707146462275,0.3739502973922687,0.1278795827460412,0.0044841439459911425,,78,17.0,10.492651800159365,0.8924731182795699,0.7928153717627402,0.8835889005668293,0.8776881720430108
stability_across_seeds,SGD,0.05,,0.0001,42,80,0.24835225169401007,0.3730673026694482,0.12471505097543814,0.004502695944147716,,75,17.0,10.486410999903455,0.8985215053763441,0.8152454111070819,0.893603297606688,0.855510752688172
stability_across_seeds,SGD,0.05,,0.0001,99,80,0.2480178077636146,0.37575146425055495,0.12773365648694035,0.004796115435440747,,77,17.0,12.698787900153548,0.8844086021505376,0.7643965755316211,0.8706219098270839,0.8978494623655914
stability_across_seeds,SGD,0.05,,0.0001,123,80,0.24670666918116257,0.3744516326157897,0.1277449634346271,0.004732066455715871,,77,17.0,17.13314720010385,0.8958333333333334,0.8058545003051412,0.8893491726116572,0.8649193548387096
stability_across_seeds,Mini-batch GD,1.0,64.0,0.0001,1,80,0.2512810201343386,0.410350226359406,0.15906920622506737,0.0033007383853082602,,80,40.0,1.120634499937296,0.8884408602150538,0.7842702281595965,0.8789708027554668,0.8790322580645161
stability_across_seeds,Mini-batch GD,1.0,64.0,0.0001,7,80,0.2513207372033603,0.41150283718572567,0.16018209998236538,0.00343049619547386,,80,39.0,1.0332406999077648,0.883736559139785,0.7688658873725805,0.8718005217492938,0.8891129032258065
stability_across_seeds,Mini-batch GD,1.0,64.0,0.0001,42,80,0.25161817970509304,0.41002585466908603,0.158407674963993,0.003347985137138885,,79,39.0,0.9250453999266028,0.8931451612903226,0.7973715651135006,0.8853746740149793,0.8716397849462365
